start	end	text
1000	5000	Why would the government program American citizens
5000	8000	to murder other American citizens?
8000	10000	Well, that's the question. So...
10000	14000	You have documented projects called MKUltra
14000	17000	and other kind of variations of mind control,
17000	20000	creating splits in multiple personalities,
20000	23000	couriers and spies, Manchurian candidates,
23000	25000	assassinate world leaders.
25000	27000	They used whoever they could get their hands on,
27000	30000	hypnotizing them, brain electrode implants,
30000	33000	electric shock, creating the super spy.
33000	35000	This stuff is shocking.
35000	39000	The U.S. Army released a list of 120-ish different drugs
39000	42000	that had been used for mind control testing.
42000	46000	1,500 people times 120 different drugs.
46000	48000	That's a lot of people, right?
48000	49000	That's a lot of people.
49000	51000	When you get into the documents,
51000	53000	you find out this guy is connected to this guy,
53000	54000	this guy is connected to that guy.
54000	56000	It's this whole network.
57000	60000	Lee Harvey Oswald, who's the supposed lone gunman,
60000	64000	probably wasn't the lone gunman when it comes to assassinating JFK.
64000	66000	Jack Ruby killed Lee Harvey Oswald,
66000	68000	so he probably was an MKUltra patient
68000	70000	before having shot Lee Harvey Oswald.
70000	72000	Who doesn't remember shooting somebody?
72000	74000	Sirhan Sirhan, to this day,
74000	78000	says that he has no recollection of having shot RFK.
78000	80000	What do you remember about the shooting,
80000	81000	if you're willing to talk about that?
81000	85000	I was, obviously I was there,
85000	88000	but I don't remember the exact moment.
88000	91000	I don't remember pulling my gun.
91000	93000	Then you have a guy like McVeigh,
93000	94000	who's an MKUltra patient.
94000	97000	Manson, who's an MKUltra patient.
97000	99000	These people are committing horrific acts.
99000	101000	You think that my mind is like your mind,
101000	102000	but it isn't.
102000	103000	This is really creepy.
103000	105000	I wonder if the same thing happened with Epstein.
105000	106000	The thing is,
106000	108000	it's not just some crazy conspiracy theory.
108000	110000	It's actually possible.
110000	113000	Can I give you my crazy Epstein MKUltra theory?
113000	114000	Oh, you'll be in trouble if you don't.
114000	142000	Okay.
142000	145000	As you know, a lot of the guests I sit down with,
145000	146000	whether they're physicists,
146000	147000	intelligence officers,
147000	150000	people who've worked inside black programs,
150000	154000	are operating at a really impressive level mentally.
154000	156000	Sometimes I feel like I'm a chimp
156000	158000	talking to human beings.
158000	160000	Often their work takes a toll,
160000	162000	and a lot of them track their health obsessively.
162000	165000	Regular lab work, obscure biomarkers,
165000	168000	often things that most people never look at.
168000	171000	Meanwhile, last time I went to a primary care doctor,
171000	174000	they ran maybe like eight biomarkers,
