start	end	text
800	8120	This is the best technology that can scan inside of the Great Pyramid that are undiscovered features.
8820	16340	Do any of these structures that they're interpreting fly in the face of what conventional archaeology would think exists inside the pyramids?
16340	18140	All of it. All of it. All of it.
20160	23040	There is also electricity inside this.
23920	26960	Fossilized lightning through these iron veins.
26960	31000	What is creating the lack of signature here?
34920	38180	There is something. I can't disclose it now.
38360	38760	I understand.
41100	50200	Each pyramid is producing a specific chemical, and the sequence of these chemicals transforms one product into the next product into the next product.
50520	52920	Industrial-scale chemical manufacturing.
52920	63380	If we do have tubular structures, pillars, with coils wrapping around them that go a kilometer deep with a foundation underneath them, that's insane. That's huge.
63380	65680	Correct. Yeah. And it's something that needs to be addressed.
67680	74820	Because there's no physical way that these could possibly have been built. Period.
74820	89320	For over 4,000 years, the pyramids of Egypt have stood as some of the most extraordinary structures ever built by human hands.
89320	105280	The Great Pyramid of Khufu on the Giza Plateau contains roughly 2.3 million stone blocks, some weighing as much as 70 tons, arranged with a precision that still astonishes engineers today.
105280	118360	The first and most obvious question everyone asks is how these insanely large, sophisticated, and astronomically-aligned structures were built in ancient times, before modern civil engineering.
119580	123280	Archaeologists and historians have proposed several main theories.
123280	133400	French architect Jean-Pierre Houdin suggests that an internal ramp, spiraling within the pyramid's structure itself, carried the blocks.
134040	141240	This is an idea that gained renewed interest after the ScanPyramids project detected unexplained voids inside the Great Pyramid.
141240	149620	Other proposals involve lever systems, counterweights, and complex lifting techniques hinted at by ancient historians like Herodotus.
149960	153420	And then, of course, you have the Atlantean acoustic levitation crowd.
153820	155780	Always a good time, and I can't hate on them.
156000	161160	But the point is, all of these theories have serious issues with them and are incredibly speculative.
161580	169140	And there's another, even more simple question we take for granted, and one that's probably even more interesting when it comes to the pyramids.
169140	171800	Why were they built in the first place?
172360	176060	The most widely accepted explanation is the royal tomb theory.
176480	182600	Most Egyptologists believe the Great Pyramid was built for the pharaoh Khufu around 2500 BC,
183280	188400	as part of a massive funerary complex designed to help the king ascend to the afterlife.
188700	193520	And the Pyramid of Khafra was, of course, built for the tomb of pharaoh Khufu, Khufu's son.
193520	200680	But no confirmed mummies or tombs of Khufu or Khufu have ever been found inside of the pyramids.
201720	205220	And the interior chambers themselves are surprisingly bare.
205700	213460	And so, in the last few decades, some very alternative ideas have emerged for what the pyramid's true purpose may have been.
213460	220860	One of the most famous of these comes from former aerospace engineer and Joe Rogan guest Christopher Dunn.
221280	226160	Dunn proposed that the Great Pyramid might have functioned as an ancient energy machine.
227260	235560	In his view, the pyramid's internal chambers, granite structures, and resonant geometry may have all worked together to generate power,
236020	240480	possibly through vibrations interacting with quartz crystals inside the stone.
240480	245620	Researcher Jeffrey Drumm, who runs the amazing Land of Chem YouTube channel,
245820	248940	believes the pyramids weren't producing electricity at all.
248940	255680	They were harnessing atmospheric electricity and producing hydrogen gas and ammonium-based compounds
255680	260860	essential for metalworking and agriculture, something ancient civilizations needed.
261320	266820	And my hypothesis for the function of the Great Pyramid is that the hydrogen sulfide gas,
266820	270960	coming from this subterranean karst cave and tunnel system,
271380	276800	is the initial reactant in the chemical manufacturing sequence within the Great Pyramid.
277180	283320	According to Drumm, different chambers inside the pyramid could have served as reaction vessels,
283780	289480	where chemicals like zinc and acid interacted, generating hydrogen through controlled reactions.
289480	297220	These fascinating open questions, how and why the pyramids got built, became infinitely weirder in 2022.
298020	305260	That's when a small team of researchers, led by Italian radar specialist Filippo Biondi and his engineering colleague,
305400	311420	Corrado Malanga, made one of the boldest claims in the last century involving ancient archaeology.
311880	317480	Using a technique called synthetic aperture radar Doppler tomography, applied to satellite data,
317480	325140	they claim to have detected eight enormous cylindrical tubular structures going beneath the Giza Plateau,
326040	334780	possibly including large vertical shafts and chamber-like formations extending hundreds of meters below the pyramids themselves.
334780	341700	We are counting at the moment four plus four cubes that are descending underneath,
342220	349860	and they are connecting the top, so the base of the pyramid, to something that is located at the bottom.
350260	359100	So tonight on American Alchemy, we are hosting a historic roundtable discussion between Jeffrey and none other than Filippo Biondi himself,
359100	366200	the man who conducted the scans and created the method that derived the images of these large columns below the pyramids.
366200	373080	The result was probably the deepest conversation that's ever been had on the structure and purpose of the pyramids,
373400	377840	and the vast complex of subterranean structures that might lie beneath them.
378980	386220	Modern disclosure might not involve modern technology, but rather ancient technology hidden in plain sight.
386220	393960	Without further ado, probably the two best guests I could think of to explore the birthplace of alchemy itself, ancient Egypt,
394560	399780	please welcome this week's American alchemists, Jeffrey Drumm and Filippo Biondi.
399780	402360	The ignition sequence drive.
403860	405440	How is this possible?
406740	408320	Nothing too unusual about that.
410500	413300	The existence cannot longer be denied.
416220	426300	When we first started selling merchandise at AmericanAlchemyMerch.com,
426380	431340	we had no idea how complicated and annoying selling merch could be.
431500	437140	We talked to a dozen different platforms and companies, comparing shipping tools, payment options, website builders,
437300	440960	and it all felt like way more of a headache and complicated than it should be.
440960	445000	We decided on Shopify, and within days, our store was up.
445000	450960	Everything was running cleanly, in an automated way, so we could just focus on the brand and the vision we had for it.
451100	452140	That's when it hit us.
452520	455140	Ideas don't scale on inspiration alone.
455380	456600	They need a structure.
456960	457600	A container.
457960	459820	Shopify provides that structure.
460280	463300	It quietly powers millions of creators and brands.
463500	466660	About 10% of all United States e-commerce.
466940	469300	From big names like Gymshark and Mattel,
469480	471840	to solo creators building from their bedrooms.
472120	474920	Shopify made it simple to build a store that,
475000	476780	actually feels authentic to us.
477100	479440	Which matters when your brand lives in a niche,
479580	482180	like alternative tech, UFOs, or fringe science.
482400	484360	And when you have a very clear brand vision.
484580	487000	Plus, their AI tools help write descriptions,
487440	488400	organize products,
488560	490100	even clean up photos.
490680	493480	So we can focus on what matters and what we care about.
493560	495900	Building the best custom merch line possible,
495900	497400	with the coolest designs,
497880	499260	like our UFO cowboy tee,
499560	500680	and the atomic age tee.
500680	503540	Plus, Shopify handles all of the unglamorous,
503840	505080	more painful stuff.
505460	507440	Shipping, returns, email marketing.
507680	509520	All in one clean dashboard.
509880	512600	It's like having a silent partner who never sleeps.
512940	515040	Our favorite part of the product is the dashboard,
515240	517540	which gives us complete demographic information.
518320	519960	We can see where our orders come from,
520060	522140	making it easy to know who our most loyal,
522320	524780	consistent customers are around the world.
525120	526040	That's just one example,
526200	528280	but Shopify really makes your life easier.
528280	530540	Bring your next idea to life,
530660	534020	with Shopify quietly handling everything behind it.
534400	536900	Sign up for your $1 per month trial,
537120	540780	and start today at shopify.com slash jesse.
541100	543840	Again, that's shopify.com slash jesse,
543980	545060	J-E-S-S-E,
545420	547660	for a $1 a month trial.
547880	550080	It's just $1 a month to try Shopify,
550480	552420	the state-of-the-art solution in e-commerce.
552660	555280	I'm here with Filippo Biondi,
555420	556720	round two with him,
556720	559600	and I have brought in an amazing co-interviewer,
560240	560960	Jeffrey Drum,
561080	563260	who I've become a recent big fan of.
563340	563740	Thanks, sir.
563800	566660	And I just can't wait enough for this conversation.
566860	568500	I'm really excited to dive into this
568500	571380	because Filippo, as we all know at this point,
571800	574600	has, through synthetic aperture radar Doppler tomography,
574740	575620	he's a scientist,
575800	576740	he's a data scientist,
577240	579180	30 years PhD,
580000	581400	who, with his own method,
581500	582340	the Biondi method,
582800	584400	has basically figured out,
584400	585920	through these tomography scans,
586040	589200	he's derived what he says looks like
589200	592780	these eight four plus four tubular structures
592780	594540	with coils wrapping around them
594540	596780	underneath the pyramids.
596840	599320	Not only, actually, underneath the pyramids,
599440	601460	underneath some other structures as well.
601640	603780	So it's kind of a bombshell finding.
603920	608340	Obviously, it is also a really amazing meme
608340	610040	that, like, took off on the internet.
610040	613120	And Jeffrey, more recently,
613200	614700	I've become a huge fan of just...
614700	614980	Thank you.
615160	616860	...because he's so rigorous,
617260	619600	and I don't know too many people
619600	622280	who have a step-by-step thesis
622280	623620	as to what the pyramids,
623760	625460	actually, their function is.
625560	626420	You know, it really,
626680	628760	you're kind of in a league of your own.
629320	630800	And so, you know...
630800	631520	I appreciate that.
631600	631780	Yeah.
631780	633380	That's a huge vote of confidence.
633480	634080	No, I mean it.
634120	635440	I mean, it's you and Christopher Dunn.
635440	636160	And so...
636160	636540	Sure.
636720	638520	...I'm excited to have you here
638520	640880	because I think you can ask Filippo
640880	642140	questions that I cannot.
642580	642780	Yes.
642780	644040	I think I probably accept
644040	646100	a lot of things at face value.
646380	647500	And so I'm really excited
647500	648460	to host this discussion.
648840	649020	Yeah.
649180	650660	And thank you both for being here.
650940	651340	Thank you.
651720	653020	Thank you very much for your invitation.
653380	655320	So as far as kicking things off,
655560	657700	why don't we just go over the core findings
657700	659760	just for the audience's kind of context?
660220	661700	So what are we talking about here
661700	662580	when it comes to these
662580	663720	synthetic aperture radar
663720	665120	Doppler tomography scans?
665860	668340	And if you could go into the method
668340	669800	as specifically as possible,
669800	670580	that would be very helpful.
670980	671140	Yes.
671300	674240	The method is relatively new
674240	677820	and not so, let's say,
679140	683340	diffused by the other colleagues,
683880	685460	colleagues of mine.
685680	689260	But someone I know
689260	691640	that is replicating the experiment,
691640	693940	and so I'm very happy about this.
696140	696740	Essentially,
697740	699660	I work at a lot of years,
700160	704120	maybe 30 years on radar
704120	706580	and 20 years on radars
706580	709160	installed on satellites.
709160	713660	Synthetic aperture radar
713660	715280	is an equipment
715280	717640	that synthesizes
717640	722720	a so-called integration time
722720	723900	along the orbit
723900	726260	in order to have azimuth resolution,
726920	728480	very high azimuth resolution.
728740	730320	So it is very important
730320	732720	for civilian application
732720	733900	and other applications.
735120	736980	Today is a state-of-the-art
736980	739520	because it recasts
739520	742580	also in the commercial activities
742580	743800	because there are
743800	744820	all the companies
744820	746420	that American companies
746420	748420	and also European companies
748420	750500	that are building
750500	751660	their own satellites.
751880	754340	They launch the satellites
754340	756020	in the sky,
756240	757420	in the space,
757500	757900	I'm sorry,
758620	760800	and they sell data.
761060	763440	So it is very simple
763440	765620	to find synthetic aperture radar data.
765620	767380	And what we do is
767380	770660	we reprocess this data
770660	771960	in order to,
773140	774840	and this is the core
774840	776040	of our method,
776560	777760	in order to retrieve
777760	780460	the superficial vibration
780460	781060	of the earth.
782100	783800	This superficial vibration,
784160	785160	we have to consider it,
785300	786140	we have to consider
786140	786900	this vibration
786900	790240	like the waves
790240	791680	that we can observe
791680	792880	on the border
792880	793820	of the swimming pool.
793820	795740	So those kind of waves
795740	797600	contains all the information
797600	798840	that it is,
799320	803080	that it is given
803080	804580	by the underground,
804740	805220	the underneath,
805360	805860	the underground.
806280	808040	So we do like that.
808140	809240	We estimate the vibration
809240	810020	and then we,
810100	811180	we do,
811460	812640	we make,
812880	814740	we perform algorithms
814740	816720	that are able
816720	817740	to retrieve tomography.
818400	819220	Tomography is,
819940	820900	Tomos is,
821360	822180	we look inside.
822180	823940	It's slicing
823940	825180	of the interior.
825380	827600	And we use acoustics
827600	829060	because acoustics
829060	830280	in the,
830280	831620	in the acoustics
831620	833200	are very important
833200	834580	because they propagate,
834720	835700	propagate only,
835780	836700	only matter.
836940	837100	Yep.
837500	838260	And we use
838260	838940	as a carrier
838940	839620	the light.
839780	840040	Yep.
840500	841560	Because in this space
841560	842520	we don't have matter.
842800	843720	We have,
843920	845120	but we don't have matter.
845520	847560	And we use
847560	848160	the,
848260	849040	the light,
849040	850540	it means
850540	851900	the radio frequency
851900	853300	in the 10 gigahertz,
853460	853840	in the,
853840	855220	in the 10 gigahertz
855220	856440	central frequency,
856660	857300	so light,
857600	859120	to carry
859120	860480	the information
860480	862380	of the vibrations.
862800	863320	Right.
863760	864440	So basically
864440	864920	you have
864920	866180	synthetic aperture radar
866180	866900	which is
866900	868080	a tried and true method.
868160	869160	Nobody's arguing with,
869200	869820	you know,
870180	871080	synthetic aperture radar
871080	871960	being effective.
872340	873180	You have companies
873180	874520	like IceEye,
874980	875700	you know,
875760	876100	Umbra,
876100	876920	Capella space
876920	877640	that work off
877640	878140	this method.
878300	878620	They use it
878620	879140	for defense
879140	880060	and commercial purposes.
880240	880660	It's basically
880660	882040	a higher resolution radar.
882480	882860	And then I think
882860	884180	the big update here
884180	886000	is the Doppler tomography.
886400	887720	And then the other update
887720	888260	is you're getting
888260	889680	these tomography scans
889680	891580	and you have software
891580	893180	that is proprietary
893180	893900	to you,
894000	894180	right,
894300	894640	Filippo?
894720	895080	It's not matter.
895220	895480	I mean,
895740	896740	because we have,
896780	897980	we have a patent
897980	898620	that this,
898720	899380	this,
899580	899980	now I,
899980	901740	I am also submitting
901740	902600	a second patent
902600	904400	on the first patent
904400	905960	because I made
905960	907720	some improvements
907720	908520	of the technique
908520	910240	and so I am,
910440	911120	in these days,
911300	912360	we are submitting
912360	913620	in the United States.
913920	914840	So the two big updates
914840	916120	are the Doppler tomography
916120	917160	and then you get
917160	917980	the tomography scans
917980	919600	and it's your interpretation
919600	921080	of the tomography scans
921080	922760	which is kind of
922760	923720	this unique thing
923720	924540	to you
924540	925360	and so that has
925360	926360	the world,
926600	926900	you know,
926900	928160	up in flames,
928320	929320	the archaeological world
929320	930300	where you have,
930380	930660	you know,
930900	932020	people like Flint Dibble
932020	932860	coming at you
932860	933580	and saying,
933720	933900	you know,
933900	934700	what a nice guy,
934800	934960	right?
936180	936380	Yeah,
936480	936700	yeah,
936940	939040	and Jeffrey really
939040	940700	struck me
940700	942000	as somebody
942000	942540	who,
942740	943340	you know,
943740	944380	was asking,
944500	944720	I think,
944780	945780	one step level
945780	946940	deeper questions
946940	948340	than I could ask
948340	949000	about this
949000	949440	and so
949440	950640	I kind of want to,
950740	951180	you know,
951240	952260	just maybe defer
952260	953500	to you here
953500	954740	as far as,
954780	955800	you know,
955860	956540	what you think
956540	957240	about these claims
957240	958200	because on the face
958200	958620	of them,
959580	959840	you know,
959900	960660	if we do have
960660	961840	tubular structures,
962260	962580	pillars,
962580	963640	with coils
963640	964360	wrapping around them
964360	964760	that go
964760	965740	a kilometer deep
965740	966700	with a foundation
966700	967540	underneath them,
968180	968920	that's insane.
969080	969420	That's huge.
969420	969620	Correct.
969820	969980	Yeah,
970040	970660	and it's something
970660	971700	that needs to be addressed.
971700	972840	So to preface
972840	974640	sort of my perspective
974640	976520	on the new SAR scans,
976960	977920	my work focuses
977920	979620	on a comprehensive overview
979620	980340	of the function
980340	981600	of the Egyptian pyramids
981600	983100	from the Step Pyramid,
983200	983800	Red Pyramid,
983880	984440	Bent Pyramid,
984520	985100	Great Pyramid,
985180	985740	Central Pyramid,
985820	986480	Final Pyramid,
986480	987760	and also encompasses
987760	988760	ancient structures
988760	989780	like stone circles,
989980	991160	passage chamber reactors,
