start	end	text
1000	6000	You are, to my knowledge, the only leader of a prominent nation
6000	10000	who was abducted by aliens and taken up on a spacecraft
10000	14000	while you were a sitting president in 1997.
14000	18000	You are constantly using the term abducted.
18000	21000	I was invited by them.
21000	25000	The episode you're about to watch is truly historic.
25000	29000	I'm here with the great Kirsan Ilyumzinov.
29000	34000	Not only was he president of Kalmykia at the time of his alien visitation,
34000	38000	but he was also president of FIDE, the World Chess Federation.
38000	42000	He was in Vladimir Putin's inner circle for decades,
42000	47000	has met many world leaders, including American presidents and secretaries of state.
47000	52000	He knew some notorious figures like Saddam Hussein and Gaddafi very well.
54000	57000	But also befriended Pope John Paul II.
57000	61000	And because he was president of the only European Buddhist Republic of Russia,
61000	68000	he also happens to be very close friends to this day with His Holiness the Dalai Lama.
68000	72000	So over centuries we have some special relations.
72000	76000	Kirsan describes his entire experience in full detail.
76000	81000	There was something like a translucent pipe glowing, made of some matter.
81000	88000	So I went along this tube, and there was something like a fiery, like a planet giving off heat.
88000	93000	In this exclusive interview, we get his chief of staff on record for the first time,
93000	97000	saying that he searched Kirsan's penthouse apartment for hours.
97000	101000	And then one of the rooms that they had thoroughly scanned, he just walked out of.
101000	103000	It's so trippy.
103000	107000	Beyond that, we discuss Putin and Trump's knowledge of UFOs and aliens.
107000	112000	What do you think the Dalai Lama thinks about UFOs and extraterrestrials?
112000	113000	Well…
113000	120000	Kirsan even gives direct historical examples of the US and Soviets sharing knowledge on UFOs.
120000	122000	Thank you. Nice to see you all.
122000	129000	He even gives a fascinating anecdote about his longtime friend, American Secretary of State, Henry Kissinger.
129000	132000	Henry Kissinger was watching me closely.
132000	137000	He was a man of few words, and Gorbachev sitting next to him said,
137000	140000	Come on, Henry. Tell him.
140000	146000	And if that's not all, Kirsan reveals that the president of a large sovereign nation
146000	153000	that happens to be a close friend of his was also visited by aliens while he was on a fishing trip.
153000	156000	Because Kirsan courageously went public with his own experience,
156000	162000	this president felt comfortable confiding in Kirsan with the full details of his story.
162000	166000	A story that's never been told before, but that Kirsan relays here.
166000	172000	Trump, Putin, Xi Jinping, these world leaders at the highest level,
172000	177000	do you think they're aware of the alien presence and UFOs and UFO programs?
177000	181000	The president of the United States had a small folder like this,
181000	184000	that he opened and showed to Brezhnev.
184000	187000	Something quite interesting was in that folder.
187000	194000	But after that meeting, all research and all flights to the moon suddenly stopped.
