start	end	text
0	2960	Whenever you see something that doesn't fit what you know,
3360	6220	a real scientist should get excited, not skeptical.
9420	13900	My two guests today have credentials that are impossible to ignore.
16960	21920	Dr. Eric Hazeltine was director of research for the National Security Agency.
22340	25280	Basically, he was the tip of the spear on science and innovation
25280	28820	for the U.S.'s most hardcore intelligence agency.
30720	35100	Before that, he was an executive vice president at Walt Disney Imagineering.
35700	40620	He's a neuroscientist, a futurist, and has over 70 patents to his name.
40940	44300	He possibly has one of the most intriguing resumes of all time.
44300	47940	When you look at all the many thousands of reports, and we've looked at all,
48000	51060	and some I have guilty knowledge of from when I was inside the government,
51560	54560	it's real, and it's something we do not understand.
54560	61400	Dr. Chris Gilbert has an M.D. and Ph.D. from one of France's top medical schools.
61820	65660	She's worked with Doctors Without Borders across four different continents,
65660	69760	and she's pioneered her own incredibly unique methods in holistic medicine.
69760	76520	In our own body that we've studied so much, there are things we're discovering that we had no idea existed.
76520	79120	She also happens to be Eric's wife.
79420	85760	Together, they've co-authored several books, including The New Science of UFOs and The Shadow of Time,
86100	93780	a book involving ancient archaeological objects with anomalous properties being systematically excavated by private corporations.
93780	95820	This thing's a cover-up.
96440	100400	So when I found out that a former NSA director of research,
100620	105440	who is privy to just about every sensitive piece of intelligence in the United States,
105600	109900	wrote a book about anomalous objects being recovered in the desert,
110200	111920	I had to reach out and learn more.
112360	115960	Do you guys have kind of a base case for what's going on?
116040	122420	I think what we're seeing with these credible, real phenomena is something really bizarre and out there.
123780	126320	We might all be Martians.
127120	132560	What is to say that life doesn't exist 120 light-years away from us?
134060	138280	I think it's almost certain that we're evolved from building blocks that are extraterrestrial.
139280	144700	There was some advanced civilization on Earth many hundreds of millions of years ago
144700	147440	that discovered near-luminal travel.
150440	153220	This whole interview is a fun game of cat and mouse.
153220	157880	It's me basically trying to figure out whether Eric and Chris's fiction books
157880	161120	were at all informed by what Eric saw behind the curtain.
161300	164180	You can move something through the air where there's no engine on it at all.
164260	165680	You're just pushing on it with photons.
165800	167040	Did you do that at a larger scale?
167220	167500	Yes.
167740	168020	Whoa.
168620	173700	So without further ado, sit back, relax, and enjoy a mind-expanding conversation
173700	176620	with a bunch of rabbit holes you won't want to climb out of
176620	179040	with this week's American Alchemists,
179040	182720	Dr. Eric Hazeltine and Dr. Chris Gilbert.
183220	185380	The glitzing sequence size.
187080	188480	How is this possible?
189680	191360	Nothing too unusual about that.
193320	196320	The existence cannot longer be denied.
196320	206040	Oh, man.
206120	207280	This is a total honor.
207720	211660	I feel very, as is often the case, but maybe especially today,
211820	214560	intellectually underqualified to be in this room.
215620	218280	Dr. Chris Gilbert, Dr. Eric Hazeltine,
218280	222520	you are the former director of research at the NSA, the National Security Agency.
223740	230080	And that role actually ended up with you on an A&E history series, Alien Files Reopened.
230280	234720	Having been at NSA and being one of their senior leaders, I find that highly unlikely.
235080	236040	Which is fascinating.
236040	239920	You guys co-authored a book about UFOs together, which I can't wait to get into.
240500	244980	You also worked at Hughes Aircraft, Disney Imagineering, Dr. Chris Gilbert.
245140	249800	You've done amazing work around the world as a physician, MD, PhD.
250600	254780	And you guys have co-authored a few books together, and I want to talk about those.
254780	260040	Because you've independently offered, you know, a spy in Moscow station.
261240	265100	And you guys have just an incredible background, both individually and together.
265300	267300	So it's an honor to be with you today.
267840	268820	That's a great honor to be here.
